,Timestamp,family,"What is your pet's name? (As a reminder, you should submit one separate survey for each cat you have.)",How did you acquire this cat?,"If your cat came from a cat cafe, or if you indicated you adopted this cat from ""Other"", please give the name of the cafe or other adoption/purchase source below:",In which of the following life stages is this cat?,"How long, in years, have you had this cat? (Please round up or round down to the closest whole number.)",Which of these best describes your cat's coat color? ,"If your cat's coat was marked as ""Other"", please describe the cat's coloration below:","Approximately how much does your cat weigh, in pounds? (Please use decimals instead of fractions if you know your cat's weight very specifically.)","On a scale from 1 to 10, with 1 being ""scaredy cat"" and 10 being ""social butterfly"", how social is your cat around people?","On a scale from 1 to 10, with 1 being ""Has one brain cell"" and 10 being ""Kitty Einstein"", how intelligent do you think your cat is? (A nice simple quiz you can use to gauge this based on everyday behaviors can be found here.)","On a scale from 1 to 10, with 1 being ""Couch potato"" and 10 being ""Always in motion"", how active/playful is your cat?","On a scale from 1 to 10, with 1 being ""Cat's got his tongue"" and 10 being ""Chatty Cathy"", how vocal is your cat?"
16,6/6/2023 10:12:38,9,Mama,Found as a stray,,Adult (3--6 years),5,Other,ocicat tabby mix,9,8,9,6,9
17,6/6/2023 10:14:07,9,Logan,Found as a stray,,Adult (3--6 years),5,Other,ocicat marble tabby mix,13,1,6,7,2
18,6/6/2023 10:15:14,9,Aiva,Found as a stray,,Adult (3--6 years),4,Classic tuxedo (black and white),,7,4,8,10,2
19,6/6/2023 10:16:34,9,Daisy,Found as a stray,,Adult (3--6 years),2,Other,abyssian tabby mix,7,6,7,8,10
20,6/6/2023 10:17:29,10,Spooky,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Solid black,,5,8,8,9,5
21,6/6/2023 10:17:44,9,Alex,Found as a stray,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,0,Orange tabby/orange tabby with white,,2,9,6,10,2
22,6/6/2023 10:18:51,10,Pandora,Found as a stray,,Adult (3--6 years),6,Calico,,14.7,3,9,2,2
23,6/6/2023 10:19:04,10,Pandora,Found as a stray,,Adult (3--6 years),6,Calico,,14.7,3,9,2,2
24,6/6/2023 10:22:55,11,Luna,Acquired through a friend or relative,,Adult (3--6 years),4 yrs,Solid black,,10,7,6,4,5
25,6/6/2023 10:38:43,12,Phil,Found as a stray,,Senior (11-14 years),12,Brown tabby/brown tabby with white,,9,10,10,5,5
26,6/6/2023 10:40:14,12,Sam,Adopted through animal shelter/rescue group,,Senior (11-14 years),13,Solid black,,7,3,8,3,3
27,6/6/2023 10:41:53,13,Franklyn ,Found as a stray,,Senior (11-14 years),12 years,Other,Blonde with tabby markings on the head,10 pounds,4,6,7,8
28,6/6/2023 10:42:04,14,Nicholas ( Nicky Meownaj),Acquired through a friend or relative,,Mature (7--10 years),10,Seal point,,8 lbs,5,9,5,4
29,6/6/2023 10:43:14,15,Cupcake ,Found as a stray,,Senior (11-14 years),14,Calico,,12 lbs,4,8,3,5
30,6/6/2023 10:43:15,16,August,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Tortoiseshell,,8,10,7,6,7
31,6/6/2023 10:43:36,13,Ashliegh,Acquired through a friend or relative,,Adult (3--6 years),5 years,Tortoiseshell,,10 pounds,2,4,1,2
32,6/6/2023 10:44:07,14,Luci Fur,Found as a stray,,Mature (7--10 years),9,Solid black,,3.5,2,2,3,6
33,6/6/2023 10:45:36,16,Kali,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Tortoiseshell,,10,4,8,7,6
34,6/6/2023 10:46:11,14,Harry Pawter,Acquired through a friend or relative,,Adult (3--6 years),3,Other,Snowshoe Siamese ,14 lbs,8,4,3,4
35,6/6/2023 10:47:36,14,RuPaw,Acquired through a friend or relative,,Adult (3--6 years),3,Solid black,,9lbs,8,6,7,6
36,6/6/2023 10:49:50,17,Tuttle ,Adopted through animal shelter/rescue group,,Super Senior (15 years+),14,Tortoiseshell,,7 lbs,3,3,1,7
37,6/6/2023 10:51:01,15,Nacho,Acquired through a friend or relative,,Adult (3--6 years),3 years,Orange tabby/orange tabby with white,,13 lbs,2,3,5,5
38,6/6/2023 10:54:40,18,Ozzie,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid gray,,9.14,10,3,7,8
39,6/6/2023 10:55:49,18,Eli,Acquired through a friend or relative,,Mature (7--10 years),1,Brown tabby/brown tabby with white,,15,8,8,3,1
40,6/6/2023 11:01:51,19,Linus,Acquired through a friend or relative,,Adult (3--6 years),6,Gray tuxedo (gray and white),,20 lbs,6,8,3,8
41,6/6/2023 11:03:19,20,Lucy,Acquired through a friend or relative,,Adult (3--6 years),6,Brown tabby/brown tabby with white,,12 lbs,9,5,5,7
42,6/6/2023 11:07:51,21,Plume,Acquired through a friend or relative,,Adult (3--6 years),3,Classic tuxedo (black and white),,10,4,6,4,2
43,6/6/2023 11:12:48,22,Binky,Adopted through animal shelter/rescue group,,Adult (3--6 years),2 years,Orange tabby/orange tabby with white,,10 pounds,3,4,4,4
44,6/6/2023 11:14:43,22,Teddy,Adopted through animal shelter/rescue group,,Adult (3--6 years),1 year,Classic tuxedo (black and white),,12 pounds,8,9,5,7
45,6/6/2023 11:14:44,23,Bernie,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Classic tuxedo (black and white),,17,8,10,4,10
46,6/6/2023 11:16:09,24,Arlo Davy Guthrie ,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid gray,,8.5,7,5,9,3
47,6/6/2023 11:16:16,25,Nutcase,Adopted through animal shelter/rescue group,,Senior (11-14 years),10,Gray tuxedo (gray and white),,12,7,8,6,6
48,6/6/2023 11:16:39,23,Joey,Adopted through animal shelter/rescue group,,Mature (7--10 years),7,Solid black,,15,1,7,6,10
49,6/6/2023 11:17:45,24,Woodrow Wilson Guthrie,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid gray,,11,3,7,3,3
50,6/6/2023 11:18:22,23,Leia,Adopted through animal shelter/rescue group,,Mature (7--10 years),9,Calico,,15,10,8,6,5
51,6/6/2023 11:22:45,12,Squeaks,Purchased from a pet store,,Super Senior (15 years+),16,Solid black,,10,10,2,7,7
52,6/6/2023 11:23:35,26,Walter,Adopted through animal shelter/rescue group,,Adult (3--6 years),3,Orange tabby/orange tabby with white,,7,6,8,5,10
53,6/6/2023 11:24:18,12,Cloudy,Acquired through a friend or relative,,Senior (11-14 years),12,Solid white,,15,8,6,7,2
54,6/6/2023 11:25:48,12,Beans,Found as a stray,,Mature (7--10 years),10,Classic tuxedo (black and white),,11,1,8,6,7
55,6/6/2023 11:26:08,27,Vegas,Acquired through a friend or relative,,Mature (7--10 years),6,Brown tabby/brown tabby with white,,13,6,6,4,7
56,6/6/2023 11:27:06,12,Cricket ,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Solid black,,9,10,10,10,8
57,6/6/2023 11:27:19,28,Sally ,Found as a stray,,Super Senior (15 years+),15 years,Classic tuxedo (black and white),,6 lbs,8,10,7,10
58,6/6/2023 11:28:28,12,Violet ,Adopted through animal shelter/rescue group,,Mature (7--10 years),9,Solid black,,7,8,10,6,5
59,6/6/2023 11:29:14,29,Koda Bear,Found as a stray,,Adult (3--6 years),6 years,Gray tabby/gray tabby with white,,12.50 pounds,10,7,3,10
60,6/6/2023 11:29:54,12,April,Adopted through animal shelter/rescue group,,Senior (11-14 years),12,Calico,,14,1,6,2,10
61,6/6/2023 11:30:21,28,Kitty,Purchased from a pet store,,Super Senior (15 years+),23,Brown tabby/brown tabby with white,,5,10,3,1,5
62,6/6/2023 11:30:59,12,Mitzi,Adopted through animal shelter/rescue group,,Senior (11-14 years),12,Gray tabby/gray tabby with white,,12,7,5,1,1
63,6/6/2023 11:31:10,30,Tuxedo,Found as a stray,,Adult (3--6 years),6,Classic tuxedo (black and white),,9,9,9,7,6
64,6/6/2023 11:32:07,31,"Kikyo, aka Kiki, Keeks, Keekers, Princess",Acquired through a friend or relative,,Super Senior (15 years+),14 years,Classic tuxedo (black and white),,7 pounds,9,8,8,7
65,6/6/2023 11:32:19,30,Lyla,Adopted through animal shelter/rescue group,,Senior (11-14 years),13,Solid white,,13,1,8,1,5
66,6/6/2023 11:32:21,28,Puff,Found as a stray,,Adult (3--6 years),6 years,Other,Grey and white long hair,10,1,2,10,10
67,6/6/2023 11:36:03,31,"Bendy aka Bendy-Boo, BendyKitty",Acquired through a friend or relative,,Adult (3--6 years),4 years,Solid gray,,15 pounds,3,4,2,2
68,6/6/2023 11:36:20,32,Kermit,Adopted through animal shelter/rescue group,,Adult (3--6 years),4 years,Gray tabby/gray tabby with white,,20,5,5,1,6
69,6/6/2023 11:37:25,33,Rowdy,Acquired through a friend or relative,,Adult (3--6 years),3,Solid gray,,12,7,8,8,3
70,6/6/2023 11:37:29,32,Pumpkin,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years,Orange tabby/orange tabby with white,,9,9,1,10,8
71,6/6/2023 11:37:44,34,Ginger,Acquired through a friend or relative,,Super Senior (15 years+),20 years,Brown tabby/brown tabby with white,,12.5 lbs,1,9,3,10
72,6/6/2023 11:40:21,33,Nugget,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Brown tabby/brown tabby with white,,11,3,4,6,2
73,6/6/2023 11:42:28,35,Penny,Adopted through animal shelter/rescue group,,Adult (3--6 years),5,Tortoiseshell,,9lbs,10,10,8,10
74,6/6/2023 11:42:30,33,Earl,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Brown tabby/brown tabby with white,,17,10,3,6,4
75,6/6/2023 11:43:29,35,Kia,Found as a stray,,Adult (3--6 years),3,Solid black,,17,4,9,7,3
76,6/6/2023 11:45:41,36,Milo,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Orange tabby/orange tabby with white,,Ginger 3 lbs,8,8,8,4
77,6/6/2023 11:45:50,35,Salem,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1,Solid black,,15,10,10,10,7
78,6/6/2023 11:47:05,37,Andy Roo,Acquired through a friend or relative,,Adult (3--6 years),3,Other,White with orange spots,15,9,3,10,9
79,6/6/2023 11:51:11,38,Lint,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,about 1 year,Solid black,,8 lbs,10,7,6,5
80,6/6/2023 12:05:56,39,Bea,Found as a stray,,Adult (3--6 years),4,Brown tabby/brown tabby with white,,8.5,7,8,8,5
81,6/6/2023 12:11:06,40,Butter,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,6 years,Orange tabby/orange tabby with white,,16,9,9,4,6
82,6/6/2023 12:12:11,41,Diego,Adopted at a cat cafe,,Adult (3--6 years),3,Gray tabby/gray tabby with white,,15.5,8,8,9,7
83,6/6/2023 12:17:04,42,Cappy,Adopted through animal shelter/rescue group,,Adult (3--6 years),4,Gray tabby/gray tabby with white,,15,9,8,2,8
84,6/6/2023 12:23:11,43,Willow,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Tortoiseshell,,13,3,6,6,5
85,6/6/2023 12:25:01,44,Ashley,Received as a gift,,Super Senior (15 years+),15,Other,Tabby-tortie or torbie,15,1,6,1,6
86,6/6/2023 12:25:04,43,Orrick,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Solid black,,12,7,6,9,8
87,6/6/2023 12:26:29,43,Cedar,Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Orange tabby/orange tabby with white,,15,7,6,1,6
88,6/6/2023 12:27:25,45,Tulio,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Gray tabby/gray tabby with white,,7,3,6,3,1
89,6/6/2023 12:28:37,46,Gracie,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,14,Gray tabby/gray tabby with white,,6.5,10,7,4,10
90,6/6/2023 12:29:00,47,Layla,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Calico,,7,1,7,8,2
91,6/6/2023 12:29:14,48,Ella,Adopted through animal shelter/rescue group,,Super Senior (15 years+),16 years,Tortoiseshell,,12 pounds,10,8,1,5
92,6/6/2023 12:29:19,49,Venom,Found as a stray,,Senior (11-14 years),14,Solid black,,5.5,10,9,5,9
93,6/6/2023 12:33:38,49,Minerva,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Calico,,11.5,8,1,8,8
94,6/6/2023 12:36:57,50,Byther,Found as a stray,,Adult (3--6 years),2 years ,Gray tuxedo (gray and white),,No idea but he’s a smol kitteh,10,8,5,6
95,6/6/2023 12:39:34,51,Ratmask,Adopted through animal shelter/rescue group,,Senior (11-14 years),11,Seal point,,9,4,5,8,10
96,6/6/2023 12:41:22,52,Ginny,Found as a stray,,Senior (11-14 years),13 years,Orange tabby/orange tabby with white,,7 lbs,5,8,5,7
97,6/6/2023 12:41:41,53,Sheldon,Acquired through a friend or relative,,Senior (11-14 years),12,Gray tabby/gray tabby with white,,9lbs,5,4,3,8
98,6/6/2023 12:45:03,54,Joey,Found as a stray,,Mature (7--10 years),10,Other,"Red flame, orange tips on ears, orange strips on tail",15,9,9,9,6
99,6/6/2023 12:48:36,55,Chloe,Found as a stray,,Mature (7--10 years),10,Other,"Grays, orange, white, no cat color fits her",25,2,1,1,2
100,6/6/2023 12:49:09,56,Leo,Acquired through a friend or relative,,Adult (3--6 years),6,Other,"Black with brown/gray stripe marking, brown belly",12,7,8,4,5
101,6/6/2023 12:49:56,53,Sassy,Found as a stray,,Mature (7--10 years),9,Brown tabby/brown tabby with white,,13lbs,2,1,1,10
102,6/6/2023 12:50:05,54,Harley,Found as a stray,,Mature (7--10 years),10,Gray tabby/gray tabby with white,,10,2,5,9,6
103,6/6/2023 12:52:00,57,Fattie,Adopted through animal shelter/rescue group,,Adult (3--6 years),4 years,Orange tabby/orange tabby with white,,18 lbs,5,7,1,6
104,6/6/2023 12:53:08,58,Pumpkin ,Purchased from a pet store,,Senior (11-14 years),13,Calico,,No idea ,6,2,1,9
105,6/6/2023 12:53:39,57,Molly,Adopted through animal shelter/rescue group,,Adult (3--6 years),4,Calico,,8,3,4,4,3
106,6/6/2023 12:54:56,53,Loki,Purchased from a pet store,,Mature (7--10 years),7,Orange tabby/orange tabby with white,,14lbs,10,10,8,6
107,6/6/2023 12:54:59,58,Spooky ,Purchased from a pet store,,Senior (11-14 years),13,Calico,,No idea ,3,9,3,2
108,6/6/2023 12:55:39,59,Betty,Adopted through animal shelter/rescue group,,Senior (11-14 years),Since 4 months ,Other,Black with white spots ,12,10,10,8,10
109,6/6/2023 12:55:43,56,Dunkin,Acquired through a friend or relative,,Adult (3--6 years),6,Other,"Belly, legs and bottom half of his body is white. His back and some of the sides of his body are black.",12,3,8,3,2
110,6/6/2023 12:58:44,53,Cali/Reese,Found as a stray,,Mature (7--10 years),2,Tortoiseshell,,7lbs,4,5,6,1
111,6/6/2023 13:11:49,60,Brody,Found as a stray,,Senior (11-14 years),15,Gray tabby/gray tabby with white,,8.4 lbs,10,8,6,9
112,6/6/2023 13:13:38,60,Isabel,Found as a stray,,Super Senior (15 years+),17,Gray tabby/gray tabby with white,,8,4,6,2,10
113,6/6/2023 13:15:12,61,Kraken,Acquired through a friend or relative,,Adult (3--6 years),3,Solid black,,10,9,8,7,6
114,6/6/2023 13:27:41,62,"Whiskey, tequila and Bourbon ",Adopted through animal shelter/rescue group,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2,Solid black,,8-15 pounds,10,8,5,7
115,6/6/2023 13:30:11,63,LUNA,Adopted through animal shelter/rescue group,,Adult (3--6 years),2 .5 years,Gray tuxedo (gray and white),,Grey and white tuxedo cat,4,9,3,10
116,6/6/2023 13:33:33,64,Gracie,Purchased from a breeder,,Adult (3--6 years),4,Seal point,,8 lbs,6,10,9,10
117,6/6/2023 13:33:54,65,Amber,Adopted through animal shelter/rescue group,,Super Senior (15 years+),20 years,Tortoiseshell,,6.4,10,6,9,10
118,6/6/2023 13:35:00,66,Ms Kitty,Acquired through a friend or relative,,Adult (3--6 years),1,Gray tabby/gray tabby with white,,20,5,8,5,9
119,6/6/2023 13:35:40,64,Prudy ,Acquired through a friend or relative,,Senior (11-14 years),7 yrs,Classic tuxedo (black and white),,13 lbs,1,5,2,4
120,6/6/2023 13:40:37,67,MOOCHIE,Found as a stray,,Senior (11-14 years),12,Solid black,,12,10,10,7,9
121,6/6/2023 13:40:40,68,Eddy,Adopted through animal shelter/rescue group,,Adult (3--6 years),4,Classic tuxedo (black and white),,12,5,4,8,2
122,6/6/2023 13:42:44,68,Elly,Adopted through animal shelter/rescue group,,Adult (3--6 years),4,Classic tuxedo (black and white),,8,3,5,8,4
123,6/6/2023 13:45:35,69,Jojo,Adopted through animal shelter/rescue group,,Senior (11-14 years),11 years,Other,Mostly white with black spots,9,2,5,4,1
124,6/6/2023 13:47:24,69,Demon,Found as a stray,,Adult (3--6 years),6 years,Solid black,,10,8,8,10,6
125,6/6/2023 14:00:55,70,Meeko,Adopted through animal shelter/rescue group,,Adult (3--6 years),2,Classic tuxedo (black and white),,14,8,8,3,7
126,6/6/2023 14:05:18,70,Roux,Adopted through animal shelter/rescue group,,Adult (3--6 years),1,Other,Brown/orange/white Torby,11,3,5,7,3
127,6/6/2023 14:18:20,71,Blackie,Acquired through a friend or relative,,Senior (11-14 years),10 years,Solid black,,16 lbs,9,9,8,10
128,6/6/2023 14:26:29,72,Ringo,Acquired through a friend or relative,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,3,Gray tuxedo (gray and white),,?,3,5,5,5
129,6/6/2023 14:29:37,73,Kit,Found as a stray,,Senior (11-14 years),12,Seal point,,12,10,7,2,1
130,6/6/2023 14:30:20,73,Kat,Found as a stray,,Senior (11-14 years),12,Seal point,,18,8,1,1,5
131,6/6/2023 14:31:23,73,Truly,Found as a stray,,Senior (11-14 years),11,Solid black,,12,2,5,3,10
132,6/6/2023 14:32:16,73,Kole,Adopted through animal shelter/rescue group,,Mature (7--10 years),9,Solid gray,,12,10,1,5,5
133,6/6/2023 14:33:25,73,Kenzie,Adopted through animal shelter/rescue group,,Adult (3--6 years),6,Tortoiseshell,,15,1,1,1,1
134,6/6/2023 14:44:31,74,Lowell,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years,Gray tabby/gray tabby with white,,9.3 pounds,7,10,5,9
135,6/6/2023 14:45:54,74,Lucy,Adopted through animal shelter/rescue group,,Adult (3--6 years),3 years old,Solid gray,,6.8 pounds,2,4,4,4
136,6/6/2023 14:47:22,74,Bitty,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Other,"Part orange tabby, part calico",9 pounds,8,8,7,5
137,6/6/2023 14:59:53,75,Sinatra,Acquired through a friend or relative,,Adult (3--6 years),I had him for 3,Classic tuxedo (black and white),,15,4,8,4,10
138,6/6/2023 15:06:21,76,Artemis,Acquired through a friend or relative,,Mature (7--10 years),7,Classic tuxedo (black and white),,11,2,8,3,7
139,6/6/2023 15:07:43,76,Zefram,Acquired through a friend or relative,,Mature (7--10 years),8,Solid black,,12,7,1,3,1
140,6/6/2023 15:12:38,77,Sylvester,Acquired through a friend or relative,,Adult (3--6 years),3 years,Classic tuxedo (black and white),,8 lbs,8,6,8,10
141,6/6/2023 15:13:48,78,Shelly,Purchased from a breeder,,Adult (3--6 years),3 years ,Seal point,,5 pounds,10,7,6,1
142,6/6/2023 15:13:54,77,Mittens,Acquired through a friend or relative,,Adult (3--6 years),3 years,Classic tuxedo (black and white),,8 lbs,5,5,7,8
143,6/6/2023 15:15:47,77,Scooter,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 years,Cinnamon,,7 lbs,3,9,5,9
144,6/6/2023 15:18:01,79,Shadow,Acquired through a friend or relative,,Adult (3--6 years),4 years ,Gray tabby/gray tabby with white,,15,3,8,5,8
145,6/6/2023 15:50:35,36,Purrcy,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,2 weeks,Classic tuxedo (black and white),,3 lbs,5,5,8,3
146,6/6/2023 15:51:20,80,Vivy,Adopted through animal shelter/rescue group,,Mature (7--10 years),6 years,Gray tabby/gray tabby with white,,9,7,9,6,2
147,6/6/2023 15:52:28,80,Maisie,Adopted through animal shelter/rescue group,,Adult (3--6 years),6 yrs,Gray tabby/gray tabby with white,,13,2,9,7,7
148,6/6/2023 15:53:48,80,Taylor,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,6 months,Orange tabby/orange tabby with white,,11,10,5,10,10
149,6/6/2023 15:54:41,81,Jasmine,Adopted through animal shelter/rescue group,,Kitten (Birth--6 months) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,16,Solid black,,12,2,8,3,2
150,6/6/2023 15:54:56,80,Tess,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,6 months,Calico,,9,2,9,8,5
151,6/6/2023 16:18:49,82,Poppy Cat,Adopted at a cat cafe,,Adult (3--6 years),4,Brown tabby/brown tabby with white,,11,4,8,5,10
152,6/6/2023 16:19:11,83, J C JIMMY,Acquired through a friend or relative,,Adult (3--6 years),4,Tortoiseshell,,12 LBS,3,7,4,2
153,6/6/2023 16:36:50,84,Miracle,Acquired through a friend or relative,,Super Senior (15 years+),12,Tortoiseshell,,6 pounds 8 ounces,4,8,8,10
154,6/6/2023 16:39:09,85,Giovanni,Adopted through animal shelter/rescue group,,Adult (3--6 years),4,Solid gray,,12,10,6,5,8
155,6/6/2023 16:42:10,86,Murphy,Found as a stray,,Super Senior (15 years+),16,Orange tabby/orange tabby with white,,11,6,5,5,8
156,6/6/2023 16:42:36,85,Felix,Found as a stray,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Other,Chocolate tabby point Siamese ,10,10,9,10,10
157,6/6/2023 16:42:44,84,Penelope,Acquired through a friend or relative,,Junior (7 months--2 years) KITTENS UNDER 1 YEAR OLD MAY NOT BE INCLUDED IN THE FINAL ANALYSIS,1 year,Tortoiseshell,,6 pounds,10,7,10,6
